Applicant_ID,Age,Annual_Income,Credit_Score,Loan_Amount,Debt_to_Income_Ratio,Employment_Years,Default
APP_0045,24,192528,453,27686,0.7073,24,1
APP_0046,64,63638,846,110939,0.0784,19,1
APP_0047,41,83545,549,92318,0.3481,4,1
APP_0048,61,167394,592,96265,0.4165,23,1
APP_0049,51,183081,713,25337,0.1483,7,1
APP_0050,56,55764,663,89978,0.2753,12,0
APP_0051,55,145927,394,105349,0.7117,17,1
APP_0052,30,112661,466,26021,0.0609,5,1
APP_0053,38,144404,499,95153,0.3532,15,0
APP_0054,42,250355,822,47921,0.6146,10,1
APP_0055,43,45773,693,99509,0.267,34,0
APP_0056,23,258947,501,62408,0.3715,35,1
APP_0057,46,132302,704,101265,0.7053,0,1
APP_0058,28,207128,706,22691,0.3682,24,1
APP_0059,54,126477,517,51689,0.1377,26,0
APP_0060,52,100143,522,37811,0.0847,15,0
APP_0061,62,206779,792,34803,0.6834,19,0
APP_0062,54,187538,609,41999,0.2281,32,0
APP_0063,38,61421,382,50892,0.3877,15,1
APP_0064,64,191654,696,20273,0.1108,2,0
APP_0065,40,202713,624,89849,0.3338,15,1
APP_0066,36,117979,580,71028,0.6732,10,1
APP_0067,61,242750,699,104512,0.3866,15,1
APP_0068,38,176686,799,89603,0.7007,9,0
APP_0069,25,105401,482,22885,0.2234,6,1
APP_0070,42,30488,531,13391,0.388,40,1
APP_0071,57,184590,404,55737,0.6259,5,1
APP_0072,30,76501,656,62734,0.3503,28,1
APP_0073,42,203514,521,33829,0.2373,29,1
APP_0074,27,149820,488,98865,0.6232,25,0
APP_0075,52,136280,683,74789,0.3112,37,1
APP_0076,42,65990,524,94758,0.4056,0,1
APP_0077,36,193069,555,18081,0.7043,12,1
APP_0078,31,66490,542,102808,0.1749,7,1
APP_0079,46,124918,442,29730,0.2519,23,1
APP_0080,51,222022,369,58788,0.0708,26,0
APP_0081,63,241524,755,57724,0.3125,36,0
APP_0082,41,257478,350,103466,0.1841,15,1
APP_0083,29,250258,479,38221,0.5056,9,1
APP_0084,58,156984,667,33890,0.1715,37,1
APP_0085,49,74511,372,45755,0.5021,27,1
APP_0086,52,222664,661,48297,0.2265,31,1
APP_0087,26,213978,703,26802,0.288,18,1
APP_0088,35,257754,665,26162,0.2837,18,0
APP_0089,55,179019,468,32760,0.5302,15,1
APP_0090,58,60850,310,61098,0.3626,30,1
APP_0091,41,144673,788,46202,0.2921,8,0
APP_0092,57,131992,479,52047,0.6213,39,1
APP_0093,59,223563,743,91286,0.4332,7,1
APP_0094,39,119076,408,33911,0.1933,18,1
APP_0095,61,104233,389,114187,0.6531,12,1
APP_0096,34,46571,728,95213,0.2796,26,1
APP_0097,32,221825,817,25962,0.0761,27,0
APP_0098,52,203236,774,42661,0.3814,37,0
APP_0099,50,37564,713,27026,0.133,32,1
APP_0100,28,128636,435,37736,0.2098,10,0
APP_0101,58,139294,803,48859,0.5506,8,0
APP_0102,30,136883,667,20706,0.1376,36,0
APP_0103,57,241192,394,6732,0.5907,20,1
APP_0104,22,62956,371,57658,0.6777,3,1
APP_0105,57,99071,780,89118,0.4564,33,0
APP_0106,56,69974,451,41355,0.5259,26,1
APP_0107,56,84627,722,108254,0.5281,1,1
APP_0108,51,238448,376,49312,0.7152,32,1
APP_0109,42,246247,454,113095,0.2788,24,1
APP_0110,53,38358,456,33319,0.1591,25,1
APP_0111,34,174645,454,69720,0.3978,35,1
APP_0112,56,82021,671,96578,0.4073,20,1
APP_0113,46,72674,803,12084,0.1692,18,0
APP_0114,42,95757,801,116600,0.4608,25,1
APP_0115,44,73097,708,48795,0.0595,8,1
APP_0116,47,141725,411,64751,0.6715,6,1
APP_0117,23,258981,829,80412,0.2273,34,1
APP_0118,28,164055,598,82159,0.0765,8,1
APP_0119,32,195792,600,7840,0.1225,20,1
APP_0120,27,142443,686,109060,0.211,11,1
APP_0121,41,31226,723,79832,0.2335,9,1
APP_0122,51,47514,825,124859,0.072,24,1
APP_0123,50,90378,620,61581,0.2372,32,1
APP_0124,42,84530,636,78621,0.1793,18,0
APP_0125,59,223014,710,57927,0.3037,5,0
APP_0126,46,223712,440,111773,0.3081,10,1
APP_0127,25,226156,469,104886,0.2771,6,1
APP_0128,55,175920,644,114032,0.2697,36,1
APP_0129,47,157032,335,65513,0.1101,13,1
APP_0130,49,178602,476,99974,0.0669,15,0
APP_0131,46,122379,695,48055,0.1854,2,1
APP_0132,46,183487,837,60311,0.557,18,1
APP_0133,25,212310,586,96226,0.7138,37,1
APP_0134,46,204993,520,14738,0.6721,16,1
APP_0135,56,170408,542,90258,0.3878,26,0
APP_0136,35,41481,677,6896,0.4063,7,1
APP_0137,48,196188,600,74678,0.2608,5,1
APP_0138,23,113053,312,62264,0.5685,29,1
APP_0139,37,200530,597,61241,0.5624,2,1
APP_0140,41,153170,520,64317,0.6157,18,1
APP_0141,65,232435,686,64032,0.65,12,1
APP_0142,31,106521,782,53883,0.341,0,1
APP_0143,34,244083,830,59162,0.5638,21,1
APP_0144,39,223919,636,73180,0.5903,39,1
APP_0145,65,104816,499,96615,0.2567,2,0
APP_0146,59,139956,544,71259,0.6726,33,1
APP_0147,23,151272,397,82102,0.1132,22,1
APP_0148,32,206321,815,105393,0.7162,29,1
APP_0149,58,187884,766,123741,0.566,3,1
APP_0150,24,225667,770,18038,0.1125,35,0
APP_0151,59,113809,480,90551,0.4897,0,1
APP_0152,34,145111,477,32021,0.0729,37,1
APP_0153,62,127960,771,28613,0.566,26,1
APP_0154,34,239016,600,100160,0.5855,13,1
APP_0155,41,98755,688,13242,0.4536,0,1
APP_0156,51,164212,569,106740,0.6241,25,1
APP_0157,27,55878,543,97465,0.1156,3,1
APP_0158,46,225263,648,124378,0.2349,24,0
APP_0159,44,117138,747,85153,0.3275,31,0
APP_0160,56,107017,484,109749,0.0784,10,1
APP_0161,65,163236,745,19224,0.3503,9,0
APP_0162,51,143725,434,111787,0.2277,9,0
APP_0163,40,224730,521,24239,0.3131,9,0
APP_0164,39,151287,802,42721,0.3348,4,1
APP_0165,40,147942,825,20383,0.6392,10,1
APP_0166,57,52355,809,53199,0.2311,27,0
APP_0167,36,33089,474,94879,0.6488,12,1
APP_0168,29,120464,764,37170,0.3354,32,0
APP_0169,36,259583,815,103663,0.2696,33,0
APP_0170,22,240822,838,77755,0.3867,31,1
APP_0171,26,173923,311,80471,0.3299,22,1
APP_0172,25,174353,710,117656,0.2224,12,0
APP_0173,55,118828,849,56821,0.3868,38,0
APP_0174,53,69181,721,46356,0.1517,8,0
APP_0175,52,29982,428,124346,0.2858,19,1
APP_0176,42,106614,720,71840,0.4291,18,1
APP_0177,53,101420,357,78752,0.327,30,1
APP_0178,29,72451,564,40555,0.602,22,1
APP_0179,61,88126,645,30852,0.222,32,0
APP_0180,44,33758,551,25375,0.6997,37,1
APP_0181,63,169046,685,31827,0.5758,16,1
APP_0182,28,243170,432,28422,0.6983,35,1
APP_0183,43,188265,634,94606,0.6116,6,1
APP_0184,52,131984,655,11953,0.1452,37,1
APP_0185,43,125502,649,80526,0.4027,7,1
APP_0186,41,99348,459,118915,0.1639,34,1
APP_0187,29,61038,468,96866,0.5982,16,1
APP_0188,38,166846,442,53345,0.4414,39,1
APP_0189,32,159433,554,12128,0.2265,5,0
APP_0190,35,29696,622,105094,0.6728,19,1
APP_0191,52,124400,499,5377,0.1272,36,1
APP_0192,49,92501,525,86759,0.4278,1,0
APP_0193,48,67505,457,85513,0.5331,10,1
APP_0194,37,191103,420,28030,0.0894,3,1
APP_0195,64,149991,662,93784,0.4506,13,1
APP_0196,25,175034,749,26055,0.5967,16,1
APP_0197,37,193527,460,32077,0.0952,25,0
APP_0198,27,255778,774,102438,0.3932,10,1
APP_0199,36,214240,614,122495,0.2232,6,1
APP_0200,64,171922,392,36765,0.4942,6,1
APP_0201,38,231933,501,115560,0.1295,38,1
APP_0202,61,138781,304,114594,0.6778,39,1
APP_0203,43,256465,321,97328,0.6495,9,1
APP_0204,52,204652,485,21806,0.1746,8,1
APP_0205,42,179004,550,40930,0.2666,2,0
APP_0206,33,237572,739,86325,0.4437,39,1
APP_0207,55,147498,374,124906,0.5311,28,1
APP_0208,64,195201,762,102736,0.3466,31,1
APP_0209,33,94057,429,55432,0.1547,11,1
APP_0210,56,251465,376,33230,0.1198,26,0
APP_0211,33,172621,685,120240,0.7198,2,1
APP_0212,53,209425,726,38144,0.3551,27,1
APP_0213,56,134891,633,46066,0.6346,23,0
APP_0214,41,229097,363,120742,0.3732,13,1
APP_0215,54,45209,363,72399,0.668,29,1
APP_0216,33,54472,514,36751,0.1088,26,1
APP_0217,25,145651,548,5641,0.1264,17,1
APP_0218,26,197919,850,56594,0.6729,7,0
APP_0219,41,215738,457,123320,0.6848,0,1
APP_0220,61,130100,406,56901,0.2609,38,1
APP_0221,27,178724,821,88943,0.288,11,0
APP_0222,42,156320,384,35364,0.3531,12,1
APP_0223,52,251073,314,98073,0.3288,27,1
APP_0224,30,179751,532,98094,0.1773,10,1
APP_0225,53,124707,520,77996,0.6519,15,1
APP_0226,35,252997,641,97621,0.2197,29,0
APP_0227,57,52882,783,74458,0.5225,24,0
APP_0228,47,256422,814,50398,0.095,26,0
APP_0229,46,63731,459,93545,0.076,0,1
APP_0230,29,94868,840,105215,0.488,18,0
APP_0231,42,218581,648,105927,0.2771,19,1
APP_0232,59,198230,338,30568,0.4892,25,1
APP_0233,22,253122,817,86191,0.113,6,0
APP_0234,55,201996,376,5516,0.6864,6,1
APP_0235,43,175785,624,73639,0.5515,31,1
APP_0236,53,108386,735,73540,0.6371,27,0
APP_0237,51,29093,437,48619,0.1414,33,1
APP_0238,41,56737,449,124289,0.2645,11,0
APP_0239,35,97084,562,110955,0.2968,40,1
APP_0240,49,37499,787,9637,0.4099,11,1
APP_0241,28,145897,423,30060,0.2489,26,0
APP_0242,47,208343,665,29959,0.0906,6,0
APP_0243,26,251475,549,112707,0.2971,37,1
APP_0244,50,141610,361,67269,0.2205,13,1
APP_0245,49,231001,691,92464,0.3086,32,0
APP_0246,25,256645,758,102192,0.182,13,0
APP_0247,55,227480,617,97114,0.2255,32,1
APP_0248,40,135873,397,15685,0.4701,18,1
APP_0249,56,103460,385,21840,0.3101,2,1
APP_0250,23,254876,533,52428,0.2814,7,1
APP_0251,29,84123,579,45605,0.4077,28,1
APP_0252,43,123485,604,94649,0.5671,7,1
APP_0253,30,45175,434,23748,0.3038,11,1
APP_0254,36,212134,575,49585,0.4436,22,1
APP_0255,51,178762,462,33388,0.6974,10,1
APP_0256,28,47678,678,27660,0.3997,5,1
APP_0257,51,79487,738,25736,0.6596,25,1
APP_0258,26,156867,659,28459,0.5818,28,1
APP_0259,29,153375,300,72724,0.0893,30,1
APP_0260,47,214077,846,54205,0.3375,38,0
APP_0261,56,89734,313,57234,0.5179,5,1
APP_0262,29,242530,850,62530,0.7111,17,1
APP_0263,35,131117,317,93927,0.3571,9,0
APP_0264,62,218839,584,108417,0.1122,36,0
APP_0265,65,83304,358,68172,0.4265,22,1
APP_0266,47,36577,352,82070,0.1348,4,1
APP_0267,41,40772,676,93627,0.5535,28,1
APP_0268,37,114466,701,87848,0.3901,1,0
APP_0269,48,249131,365,21111,0.5347,11,1
APP_0270,48,39298,838,122958,0.6325,29,1
APP_0271,34,113602,476,24777,0.4714,20,1
APP_0272,23,53353,475,54421,0.4603,31,0
APP_0273,28,244122,463,83312,0.5556,23,1
APP_0274,64,184670,554,53402,0.6144,34,1
APP_0275,40,204944,397,34175,0.6323,23,1
APP_0276,43,193475,534,115801,0.0744,2,0
APP_0277,42,180430,415,13583,0.4226,2,1
APP_0278,56,207503,328,34505,0.1949,31,1
APP_0279,24,29884,503,124159,0.6264,1,1
APP_0280,25,228785,670,92577,0.4844,15,1
APP_0281,34,199648,720,15437,0.3315,0,1
APP_0282,43,199548,494,95548,0.176,12,1
APP_0283,51,119277,478,121341,0.2771,24,0
APP_0284,43,213802,733,16734,0.5215,7,0
APP_0285,41,116581,675,54686,0.1869,19,0
APP_0286,63,39359,758,61187,0.1127,40,0
APP_0287,29,238613,799,20721,0.645,2,1
APP_0288,47,82412,752,29067,0.562,2,1
APP_0289,45,51640,816,25850,0.1839,11,0
APP_0290,42,172280,529,27245,0.2458,33,1
APP_0291,57,82207,517,53423,0.7013,16,1
APP_0292,33,227085,477,60659,0.5245,26,0
APP_0293,63,130950,429,33558,0.459,1,1
APP_0294,36,29044,712,39731,0.2561,30,1
APP_0295,45,248798,693,28068,0.2504,2,1
APP_0296,44,147394,741,100527,0.0765,29,0
APP_0297,59,89010,392,30410,0.5381,6,1
APP_0298,41,185130,570,113912,0.0789,35,0
APP_0299,34,151101,422,69662,0.0533,12,1
APP_0300,22,34868,792,101326,0.5388,7,1
APP_0301,38,204238,447,81367,0.6857,13,1
APP_0302,58,121114,379,36923,0.5569,0,1
APP_0303,22,190357,613,77163,0.366,6,1
APP_0304,61,235787,784,37896,0.3757,24,1
APP_0305,45,169662,804,19227,0.3422,12,1
APP_0306,28,183814,352,35567,0.2675,14,1
APP_0307,35,87078,479,38076,0.3995,33,1
APP_0308,46,83136,384,21204,0.3389,5,1
APP_0309,35,124280,469,7833,0.4508,16,1
APP_0310,26,225845,594,118255,0.6517,7,1
APP_0311,51,149612,454,66610,0.7167,19,1
APP_0312,51,108743,337,53245,0.1028,13,1
APP_0313,27,208869,581,116594,0.3077,1,1
APP_0314,34,225975,329,31962,0.1711,2,1
APP_0315,32,237387,424,53344,0.2859,34,1
APP_0316,51,97354,300,106600,0.2426,2,1
APP_0317,54,192636,347,80843,0.1669,32,1
APP_0318,53,164954,540,52903,0.5619,37,1
APP_0319,63,132161,768,35699,0.3825,19,0
APP_0320,55,120090,726,9214,0.6659,12,1
APP_0321,36,54576,354,15206,0.0718,31,1
APP_0322,26,91759,319,24432,0.0949,40,1
APP_0323,49,155522,486,99394,0.3202,4,1
APP_0324,62,233681,659,81710,0.1038,39,0
APP_0325,64,228991,711,57016,0.226,38,1
APP_0326,32,71521,753,98948,0.7106,5,1
APP_0327,32,185602,488,24293,0.19,2,1
APP_0328,23,47676,392,30312,0.1827,29,1
APP_0329,28,184603,314,52127,0.4343,3,1
APP_0330,46,107327,380,115087,0.3837,24,1
APP_0331,46,132364,335,78707,0.4389,2,1
APP_0332,38,194492,774,107119,0.3024,28,1
APP_0333,35,126574,447,34779,0.6039,9,1
APP_0334,58,215324,753,106805,0.1428,3,0
APP_0335,42,151790,604,13697,0.337,2,1
APP_0336,57,259708,596,32319,0.5121,7,1
APP_0337,64,176071,550,67763,0.6317,22,1
APP_0338,35,96755,751,11064,0.2976,3,1
APP_0339,30,207866,323,107991,0.4304,32,1
APP_0340,63,122642,351,109090,0.0963,24,0
APP_0341,49,151927,533,69976,0.1641,12,1
APP_0342,34,59742,517,41696,0.0963,40,0
APP_0343,49,55687,600,16875,0.5377,27,1
APP_0344,44,161370,706,79269,0.243,27,1
APP_0345,61,71312,623,69520,0.5349,7,1
APP_0346,33,259438,441,96196,0.0945,29,1
APP_0347,65,226516,480,77304,0.6279,22,1
APP_0348,63,190604,714,20395,0.6098,40,1
APP_0349,29,198450,411,19611,0.1096,19,1
APP_0350,29,166089,577,98700,0.0659,27,1
APP_0351,45,41987,596,24082,0.0877,13,0
APP_0352,23,119029,713,117621,0.6219,1,1
APP_0353,35,143025,693,17713,0.2073,5,0
APP_0354,41,240349,556,92404,0.4173,35,1
APP_0355,64,78921,470,122027,0.3356,30,1
APP_0356,65,143284,502,57946,0.583,14,1
APP_0357,28,107823,526,11805,0.3776,28,1
APP_0358,61,59173,420,110201,0.3854,0,1
APP_0359,26,51900,644,27476,0.7127,1,1
APP_0360,54,112767,414,68294,0.1506,20,1
APP_0361,59,47121,657,123144,0.6066,25,1
APP_0362,61,43582,714,94372,0.0847,38,0
APP_0363,31,109401,829,10557,0.37,31,0
APP_0364,61,74859,365,103460,0.6438,10,1
APP_0365,27,156715,718,24349,0.4957,33,1
APP_0366,44,32099,347,94922,0.5091,20,1
APP_0367,42,98020,485,79514,0.2264,33,1
APP_0368,35,133160,397,39542,0.3304,7,0
APP_0369,22,251449,389,55833,0.2956,1,1
APP_0370,55,175213,396,19141,0.3994,2,1
APP_0371,36,232326,324,123414,0.3597,40,1
APP_0372,51,107643,753,33600,0.269,3,1
APP_0373,40,132332,333,42041,0.2547,38,1
APP_0374,38,125528,519,65344,0.2181,29,1
APP_0375,60,233875,685,85685,0.2946,5,1
APP_0376,26,250536,845,65633,0.1505,35,0
APP_0377,54,251261,770,65616,0.6343,5,0
APP_0378,54,202455,375,74917,0.4534,5,1
APP_0379,38,144721,844,107923,0.1396,23,0
APP_0380,33,153478,660,52412,0.5149,11,1
APP_0381,22,255478,398,104855,0.6179,11,1
APP_0382,63,94013,547,99426,0.2091,7,0
APP_0383,63,108436,805,120320,0.1509,24,0
APP_0384,32,236103,516,114578,0.0558,1,0
APP_0385,23,117626,401,100781,0.0817,10,0
APP_0386,27,82542,782,34607,0.5607,22,1
APP_0387,24,158028,825,97915,0.7114,19,1
APP_0388,58,103479,837,93382,0.0801,28,0
APP_0389,61,234682,826,39740,0.5512,8,1
APP_0390,28,238903,780,86356,0.0981,26,0
APP_0391,54,98994,550,35356,0.4467,31,1
APP_0392,29,150853,405,67770,0.5566,15,1
APP_0393,38,256286,640,100609,0.2907,10,1
APP_0394,48,200217,421,27623,0.0573,22,0
APP_0395,53,78025,560,45434,0.4488,23,1
APP_0396,60,165052,661,100427,0.7141,3,1
APP_0397,23,171814,821,59454,0.2226,23,0
APP_0398,30,179597,459,120275,0.177,6,1
APP_0399,34,33802,438,5955,0.133,23,1
APP_0400,35,97456,704,91620,0.422,38,1
APP_0401,65,226270,303,102703,0.4496,22,1
APP_0402,56,83998,612,115143,0.5808,31,0
APP_0403,36,97529,710,23810,0.5546,12,1
APP_0404,64,102818,603,123102,0.648,37,1
APP_0405,43,69153,511,52073,0.5899,33,1
APP_0406,44,64062,756,47246,0.2157,37,0
APP_0407,41,108507,504,47665,0.4224,30,1
APP_0408,28,230840,691,81586,0.2493,26,1
APP_0409,63,28356,555,84115,0.271,21,1
APP_0410,22,93713,314,61871,0.6744,38,1
APP_0411,29,42065,592,13524,0.5069,34,1
APP_0412,32,158265,327,123395,0.703,17,1
APP_0413,34,86139,812,31652,0.3293,3,0
APP_0414,27,211738,631,16256,0.4101,0,1
APP_0415,22,163723,504,76685,0.3764,9,1
APP_0416,51,209847,567,54484,0.1219,2,0
APP_0417,64,175298,641,78868,0.2086,8,1
APP_0418,27,129705,443,110064,0.4035,4,1
APP_0419,35,227744,458,16678,0.0951,40,0
APP_0420,44,138491,530,39086,0.6741,3,1
APP_0421,62,248384,442,66988,0.133,25,1
APP_0422,52,258770,717,99535,0.1826,14,0
APP_0423,55,164652,357,77077,0.5628,7,1
APP_0424,47,184506,755,50933,0.1149,28,0
APP_0425,40,87313,492,78207,0.6532,39,1
APP_0426,30,216996,609,122597,0.5362,32,1
APP_0427,60,183809,386,62606,0.096,39,1
APP_0428,57,237392,512,111023,0.5135,24,1
APP_0429,23,89945,715,98594,0.4732,27,1
APP_0430,53,210720,449,41158,0.5574,6,1
APP_0431,25,137103,372,34940,0.6049,34,1
APP_0432,54,70961,587,97423,0.5313,30,0
APP_0433,58,67717,389,29897,0.4427,10,1
APP_0434,27,158423,473,45422,0.2661,14,1
APP_0435,41,102112,548,33247,0.5172,25,0
APP_0436,27,51639,610,77763,0.6912,0,1
APP_0437,46,127097,652,40296,0.4436,33,1
APP_0438,62,179477,672,84017,0.4951,11,0
APP_0439,25,101996,765,117181,0.3429,3,1
APP_0440,39,249641,336,104551,0.5566,13,1
APP_0441,64,208854,499,118754,0.7184,34,1
APP_0442,35,146953,300,7934,0.1575,11,1
APP_0443,27,244839,305,59654,0.1856,22,1
APP_0444,43,128449,416,31418,0.4114,33,1
APP_0445,44,60403,629,115144,0.3725,1,1
APP_0446,51,36315,792,90430,0.433,31,1
APP_0447,35,245621,726,43426,0.0829,11,1
APP_0448,64,250667,656,72622,0.3209,28,0
APP_0449,44,199506,728,77651,0.4406,7,1
APP_0450,34,51896,394,64472,0.4421,5,1
APP_0451,64,96126,762,61922,0.4904,32,1
APP_0452,62,37530,790,11625,0.5325,33,0
APP_0453,43,39889,352,59295,0.4798,40,1
APP_0454,23,85087,558,46793,0.5795,27,1
APP_0455,48,160736,757,103190,0.4686,19,1
APP_0456,46,43203,562,108812,0.4101,7,1
APP_0457,28,256427,763,95049,0.4562,12,0
APP_0458,49,133587,815,8707,0.1178,26,0
APP_0459,58,89212,561,105947,0.233,14,0
APP_0460,26,147732,332,52572,0.4034,19,1
APP_0461,53,211316,487,54964,0.6349,6,1
APP_0462,28,100516,418,118417,0.505,18,1
APP_0463,54,39023,561,109075,0.1106,9,1
APP_0464,40,39822,622,11105,0.4468,4,1
APP_0465,22,225660,555,48179,0.1986,5,1
APP_0466,64,53891,407,94964,0.5418,21,1
APP_0467,29,175450,465,69661,0.6044,15,0
APP_0468,48,117205,674,35913,0.4476,4,1
APP_0469,29,208383,314,67973,0.4462,21,1
APP_0470,63,42042,417,108993,0.2769,6,0
APP_0471,54,236287,791,31794,0.349,0,0
APP_0472,57,189980,354,94528,0.629,5,1
APP_0473,41,132232,528,93171,0.5346,18,1
APP_0474,42,76028,414,111284,0.3982,39,1
APP_0475,49,254696,357,40752,0.2967,9,1
APP_0476,56,98080,532,30910,0.0838,11,0
APP_0477,59,141798,587,70718,0.1458,9,1
APP_0478,22,119437,397,68755,0.1793,14,1
APP_0479,51,81487,342,54144,0.3002,29,1
APP_0480,26,124653,374,98512,0.6826,13,1
APP_0481,34,63144,659,100885,0.3885,26,0
APP_0482,58,28385,774,34483,0.2073,36,1
APP_0483,33,95278,399,100463,0.1209,38,1
APP_0484,57,54000,476,32689,0.2767,23,1
APP_0485,42,124228,489,53916,0.5965,29,1
APP_0486,32,228161,498,8261,0.3068,37,1
APP_0487,36,65716,434,45847,0.5676,32,1
APP_0488,45,28286,330,120021,0.5878,12,1
APP_0489,55,53773,589,58107,0.1242,5,1
APP_0490,48,145894,496,90202,0.4578,4,1
APP_0491,63,91762,488,17951,0.6926,36,1
APP_0492,60,141564,445,81267,0.3194,22,1
APP_0493,55,34785,812,49589,0.0841,12,1
APP_0494,48,105277,636,94279,0.6686,14,1
APP_0495,34,123151,530,116362,0.6421,11,1
APP_0496,40,128067,413,68793,0.3998,32,1
APP_0497,27,155868,741,17339,0.42,25,0
APP_0498,38,209094,789,62136,0.1919,36,0
APP_0499,62,136397,317,19773,0.599,12,1
APP_0500,40,223159,812,58943,0.3841,19,0
APP_0501,27,150898,685,12337,0.0727,4,0
APP_0502,50,88400,355,81852,0.5076,39,1
APP_0503,64,81132,714,42254,0.6868,20,1
APP_0504,60,102817,359,29184,0.6055,22,1
APP_0505,34,166611,328,7076,0.2357,16,1
APP_0506,41,84256,363,111567,0.0857,11,1
APP_0507,45,240088,553,105463,0.68,38,1
APP_0508,32,139328,641,102410,0.6778,20,1
APP_0509,33,228279,524,11976,0.4067,27,1
APP_0510,32,186515,367,46947,0.4804,1,1
APP_0511,65,105337,409,121561,0.3599,11,1
APP_0512,54,80954,769,74433,0.3312,32,0
APP_0513,58,200595,830,20419,0.13,3,0
APP_0514,57,104730,715,21923,0.1148,4,1
APP_0515,64,85273,356,36573,0.2059,33,0
APP_0516,26,243849,751,121681,0.6105,12,1
APP_0517,60,139970,681,25353,0.1477,11,0
APP_0518,24,39268,589,113347,0.2019,23,0
APP_0519,42,142786,378,86361,0.4176,7,1
APP_0520,48,134898,849,115627,0.1941,1,1
APP_0521,37,228440,543,104121,0.1593,0,1
APP_0522,28,193081,324,44859,0.4274,3,1
APP_0523,30,72394,415,104347,0.2966,6,1
APP_0524,58,62905,521,25296,0.4695,28,0
APP_0525,36,168033,334,39916,0.6612,12,1
APP_0526,35,38990,478,30412,0.1512,2,0
APP_0527,62,102011,558,20980,0.662,0,1
APP_0528,28,60063,822,15800,0.6547,19,0
APP_0529,62,32770,347,27487,0.6055,34,1
APP_0530,62,241166,617,19413,0.473,13,1
APP_0531,48,48838,804,50651,0.4655,2,0
APP_0532,29,30148,744,13556,0.4783,9,1
APP_0533,28,244430,809,12353,0.5126,20,0
APP_0534,34,71690,393,123778,0.061,7,1
APP_0535,47,217441,741,15523,0.6919,40,1
APP_0536,28,35257,839,13886,0.4424,31,0
APP_0537,42,63625,479,8612,0.5736,14,1
APP_0538,27,53666,574,20905,0.3028,39,1
APP_0539,45,191852,592,68350,0.0583,13,1
APP_0540,22,171874,572,104270,0.3915,5,1
APP_0541,53,138316,459,93187,0.3898,38,1
APP_0542,24,84060,834,74628,0.3428,39,1
APP_0543,30,48615,827,15202,0.2776,12,0
APP_0544,29,160057,509,97930,0.2174,24,1
APP_0545,58,81525,743,9470,0.4035,7,0
APP_0546,24,164925,519,80709,0.3014,26,1
APP_0547,40,187492,737,54119,0.6999,28,1
APP_0548,48,225068,622,110861,0.1659,29,0
APP_0549,44,142604,559,41903,0.2642,23,1
APP_0550,51,29100,370,81616,0.247,28,1
APP_0551,57,93114,660,57799,0.414,22,1
APP_0552,39,225981,476,67655,0.3845,33,1
APP_0553,58,151714,419,117655,0.4813,7,0
APP_0554,35,171635,406,90529,0.6865,19,1
APP_0555,65,134215,841,54746,0.2411,17,0
APP_0556,44,65756,356,58687,0.5142,21,1
APP_0557,54,236035,739,89548,0.0668,5,0
